	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
AC148334.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC148335.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC149222.1	1	0	0	0	1	0	1	0	0	0	2	0	0
AC149586.1	27	112	75	91	49	60	53	47	44	63	26	31	41
AC149586.2	4	0	1	1	1	0	1	0	0	7	1	0	0
AC150314.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC150314.2	0	0	0	1	0	0	1	0	0	0	0	0	0
AC150314.3	0	3	0	1	4	0	2	12	2	1	15	0	3
AC150314.4	4	6	3	6	3	3	8	0	1	10	9	6	6
AC150661.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC150661.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC150899.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC150901.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151275.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151286.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151530.1	2	0	0	7	1	0	0	3	3	19	0	1	8
AC151730.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151730.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151730.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151769.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151828.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151843.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151843.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151843.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151846.1	24	73	51	108	204	58	38	137	51	44	78	52	64
AC151895.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151901.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151904.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151904.2	0	2	0	0	0	0	0	0	0	0	0	0	0
AC151904.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151904.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151904.5	0	0	0	0	0	0	0	0	1	0	0	0	0
AC151904.6	0	1	0	2	0	0	3	0	0	0	0	0	1
AC151904.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151904.8	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151904.9	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151967.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151968.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151971.1	1	8	6	3	16	3	0	9	9	5	21	21	3
AC151971.10	3	17	16	8	22	10	2	19	17	13	56	86	32
AC151971.2	0	0	0	0	1	0	0	1	0	0	0	0	0
AC151971.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151971.4	0	19	8	0	55	15	2	42	13	0	14	6	0
AC151971.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151971.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151971.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151971.8	0	0	0	1	1	0	0	0	1	0	2	0	0
AC151971.9	0	38	19	3	21	18	0	37	14	6	15	2	0
AC151982.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC151984.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152061.1	63	105	99	141	101	96	84	101	109	167	197	158	158
AC152062.1	0	0	0	0	0	0	0	2	0	0	0	0	0
AC152065.1	3	41	24	9	21	15	5	39	28	18	76	42	8
AC152065.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152162.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152169.1	7	0	1	0	0	5	1	0	4	4	0	1	4
AC152169.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152414.1	0	2	1	0	2	0	1	0	0	1	0	2	0
AC152414.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152414.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152415.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152453.1	8	4	14	6	8	12	4	1	5	9	6	4	7
AC152501.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152819.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152827.1	23	41	35	24	39	29	20	47	42	37	79	67	30
AC152827.2	3	14	11	3	9	13	11	11	15	16	19	9	6
AC152827.3	0	1	0	0	0	0	3	2	1	0	5	2	3
AC152827.4	0	2	0	2	1	0	0	1	1	0	1	1	1
AC152922.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152922.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152944.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152945.1	1	8	0	0	0	1	4	2	1	7	7	0	23
AC152945.2	0	0	0	0	0	0	1	1	1	1	0	0	1
AC152946.1	7	12	11	14	4	5	6	5	4	19	8	11	13
AC152946.2	0	0	0	0	0	0	0	0	0	0	0	1	0
AC152946.3	0	1	0	0	0	0	0	0	0	0	0	0	0
AC152946.4	0	0	0	1	0	0	0	0	0	1	0	0	3
AC152947.1	4	25	15	33	58	19	5	8	6	17	19	14	0
AC152947.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152947.3	0	2	5	5	5	2	0	0	0	0	2	1	0
AC152949.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152949.2	129	128	79	283	62	92	175	149	91	232	88	85	201
AC152949.3	0	0	0	0	0	0	1	0	0	0	0	1	0
AC152951.1	0	0	0	0	0	0	0	0	0	0	1	0	0
AC152951.2	0	0	0	0	0	1	0	1	0	0	0	0	0
AC152953.1	0	1	0	1	4	0	0	0	0	2	2	2	7
AC152953.2	14	0	3	7	0	2	9	6	4	15	0	3	19
AC152979.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152979.2	0	0	0	2	0	0	0	0	0	0	2	0	0
AC152979.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152979.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC152979.5	0	0	0	0	2	2	0	1	2	0	0	1	0
AC152981.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153132.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153132.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153141.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153141.2	0	2	1	0	2	0	0	0	2	1	1	2	1
AC153141.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153143.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153143.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153144.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153144.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153144.3	15	41	30	36	26	22	15	17	18	32	37	33	21
AC153150.1	0	0	0	0	0	0	1	0	0	0	0	0	0
AC153152.1	7	1	2	2	1	1	2	1	0	7	0	0	6
AC153152.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153152.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153152.4	0	0	0	4	0	0	0	0	0	0	0	0	1
AC153152.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153153.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153153.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153356.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153357.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153357.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153361.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153361.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153363.1	1	0	0	2	0	0	0	0	0	3	0	1	3
AC153364.1	0	0	0	0	0	0	0	0	0	0	1	0	0
AC153365.1	2	3	3	8	4	3	2	7	4	8	9	3	5
AC153365.2	20	32	27	44	22	9	26	59	36	64	28	17	24
AC153366.1	3	1	5	6	0	2	2	0	0	3	3	1	0
AC153366.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153367.1	0	5	0	0	0	3	0	1	0	3	1	2	0
AC153368.1	94	103	68	77	30	93	133	131	66	146	68	43	110
AC153369.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153369.2	3	1	0	6	1	1	14	1	5	16	4	0	6
AC153370.1	3	0	0	7	0	0	0	0	0	7	0	0	5
AC153370.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153379.1	7	1	2	16	1	8	18	5	9	7	1	0	8
AC153379.2	2	4	4	18	3	3	3	4	8	21	3	7	17
AC153379.3	23	26	53	63	32	36	34	42	50	69	50	35	53
AC153380.1	1	11	3	4	5	4	1	1	1	3	0	1	2
AC153382.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153382.2	29	15	11	60	18	18	19	21	26	70	25	25	69
AC153484.1	0	0	0	0	2	0	0	0	2	0	0	0	0
AC153494.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153495.1	2	1763	798	27	2500	833	7	802	676	16	3064	2511	18
AC153497.1	24	37	42	26	35	51	26	38	31	23	27	27	19
AC153498.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153500.1	0	0	0	1	0	0	0	0	0	0	0	0	0
AC153501.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153504.1	32	39	43	66	40	44	34	31	39	86	69	48	56
AC153504.2	4	15	3	6	12	4	6	9	5	20	17	5	11
AC153505.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153505.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153506.1	0	0	1	0	0	0	0	4	0	1	0	0	0
AC153506.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153506.3	0	4	1	1	1	1	0	1	2	1	0	2	0
AC153508.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153509.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153509.2	4	22	9	1	13	9	1	14	10	19	61	28	12
AC153512.1	0	0	0	1	0	0	0	0	0	3	0	0	1
AC153512.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153512.3	0	0	0	0	0	0	0	2	0	4	0	0	2
AC153512.4	0	0	0	0	0	0	0	0	0	1	0	0	0
AC153516.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153517.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153521.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153522.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153522.2	0	0	0	0	1	0	2	0	1	0	1	1	0
AC153524.1	3	0	0	0	0	0	0	1	1	0	1	0	1
AC153524.2	6	0	0	5	1	0	6	1	0	7	0	0	5
AC153524.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153524.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153525.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153526.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153526.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153526.3	0	2	0	0	2	1	0	2	0	0	1	0	0
AC153526.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153526.5	0	0	0	0	0	0	0	1	0	0	1	0	1
AC153527.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153527.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153528.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153529.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153529.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153530.1	0	7	11	0	3	11	0	11	11	0	5	1	0
AC153530.2	0	5	2	6	5	13	2	11	5	2	2	5	2
AC153532.1	0	0	0	0	0	1	0	1	0	0	0	0	0
AC153532.2	0	3	0	1	3	4	1	0	2	1	5	3	0
AC153532.3	0	0	0	0	0	0	0	0	0	1	1	1	1
AC153536.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153536.2	7	17	3	6	5	10	7	22	8	8	8	1	2
AC153536.3	3	3	1	7	0	2	1	2	0	22	0	0	20
AC153537.1	1	1	6	13	5	22	3	2	14	10	9	18	4
AC153541.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153541.2	0	0	0	0	0	0	0	0	0	2	0	0	0
AC153541.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153544.1	2	12	4	22	20	3	4	8	7	8	12	11	4
AC153544.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153544.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153546.1	74	45	41	123	33	95	138	66	33	88	35	26	130
AC153547.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153548.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153548.2	0	0	0	0	0	0	0	0	0	1	0	0	3
AC153548.3	0	1	0	1	0	0	0	0	0	0	0	0	0
AC153548.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153548.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153548.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153549.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153550.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153553.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153555.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153556.1	14	5	8	24	6	9	18	4	5	16	1	6	11
AC153556.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153556.3	2	4	1	1	1	1	0	0	0	5	5	1	3
AC153556.4	160	103	165	204	57	54	187	120	96	410	63	108	448
AC153557.1	7	6	12	12	0	4	20	5	5	10	4	10	9
AC153557.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153557.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153561.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153562.1	0	0	0	1	0	0	1	0	0	0	1	2	0
AC153562.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153563.1	2	1	2	4	1	5	3	2	1	1	5	5	1
AC153564.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153564.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153566.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153566.2	0	0	0	0	0	1	0	0	0	1	0	0	1
AC153567.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153567.2	0	2	0	0	0	0	0	0	0	0	0	0	0
AC153568.1	0	0	0	7	0	1	6	2	7	12	1	6	5
AC153569.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153569.2	0	0	0	0	0	0	0	0	1	0	0	0	2
AC153646.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153646.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153662.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153662.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153663.1	14	14	8	23	7	10	11	20	20	16	12	12	29
AC153663.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153663.3	0	0	0	0	0	0	0	1	0	0	0	0	0
AC153727.1	0	0	0	0	0	1	0	0	0	0	1	0	2
AC153729.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153729.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153729.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153729.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153729.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153793.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153793.2	0	0	1	0	0	0	0	1	0	0	0	0	0
AC153794.1	7	7	4	8	3	7	10	8	5	15	9	2	5
AC153794.2	1	6	0	2	2	1	2	1	1	2	3	0	9
AC153798.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153800.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153800.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153801.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153801.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153816.1	0	0	0	0	0	0	0	0	0	1	0	2	0
AC153821.1	50	46	19	79	30	37	52	44	54	104	47	22	70
AC153821.2	15	7	21	30	18	23	11	16	14	24	6	1	9
AC153821.3	27	21	14	63	10	14	43	24	20	42	21	9	29
AC153821.4	1	2	0	3	0	1	0	1	0	2	2	0	0
AC153825.1	12	22	15	6	5	18	12	24	13	18	12	18	14
AC153829.1	0	0	0	7	3	3	1	1	3	2	4	3	1
AC153829.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153830.1	2	5	0	1	4	1	2	4	1	1	2	0	2
AC153840.1	0	0	0	0	0	0	0	1	1	0	0	0	0
AC153840.2	0	0	0	0	0	1	0	0	0	1	0	0	0
AC153843.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153845.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153845.2	9	5	8	8	4	14	9	3	7	17	6	2	15
AC153845.3	3	24	9	8	8	9	1	27	8	8	39	20	8
AC153847.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153852.1	0	0	0	0	0	0	1	0	1	0	1	0	1
AC153856.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153856.2	4	0	0	5	2	0	2	0	1	7	0	2	2
AC153856.3	2	3	2	3	1	1	2	2	1	10	0	0	4
AC153856.4	2	3	1	8	1	2	2	4	1	5	5	2	2
AC153856.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153856.6	0	2	2	5	1	0	3	1	2	2	0	1	1
AC153862.1	0	2	1	6	0	0	1	1	4	9	1	0	7
AC153862.2	503	1570	2266	826	1383	2293	641	2084	2977	1315	1921	2577	1754
AC153863.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153863.2	1	0	1	1	0	0	2	0	0	0	2	0	3
AC153864.1	14	21	15	21	9	23	8	34	18	22	16	10	21
AC153864.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153864.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153864.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153870.1	1	0	0	0	0	0	0	0	0	0	0	0	0
AC153872.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153874.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153876.1	0	1	0	0	1	0	0	0	1	0	1	0	3
AC153881.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153881.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153881.3	0	0	0	0	0	0	0	0	0	1	0	0	0
AC153887.1	0	1	0	0	1	0	0	1	0	1	0	0	0
AC153887.2	2	0	0	0	0	1	1	1	0	2	2	0	3
AC153887.3	0	1	0	2	1	0	0	0	0	0	3	0	0
AC153887.4	0	0	0	0	1	0	0	0	0	0	0	0	0
AC153889.1	2	17	6	15	18	15	9	9	19	31	36	27	36
AC153889.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153889.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153889.4	1	5	5	17	2	4	4	11	10	8	6	12	9
AC153890.1	0	0	0	0	0	0	0	0	0	1	1	0	0
AC153890.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153891.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153897.1	0	0	1	2	1	1	0	0	0	0	0	1	1
AC153897.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153899.1	46	161	121	105	148	143	50	150	138	124	249	263	103
AC153899.2	8	29	16	48	26	18	12	26	26	30	38	26	16
AC153911.1	35	39	46	41	32	34	51	33	52	87	104	107	112
AC153912.1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC153912.2	64	186	175	196	312	133	81	198	232	231	915	945	532
AC153912.3	6	26	20	24	19	9	8	9	11	11	11	19	8
AC153912.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153912.5	7	20	8	4	8	12	3	5	8	8	11	7	7
AC153917.1	0	2	1	0	1	1	0	0	1	2	1	3	0
AC153924.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153929.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153930.1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC153932.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153935.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153936.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153937.1	0	0	0	0	0	0	0	0	0	1	0	0	0
AC153937.2	0	0	0	0	0	0	0	0	0	4	0	0	6
AC153937.3	1	0	0	1	0	0	0	0	0	3	0	0	3
AC153937.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153937.5	0	0	0	0	0	0	0	0	0	1	0	0	1
AC153937.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153938.1	0	0	0	0	0	0	0	0	0	1	0	0	0
AC153938.2	43	44	89	45	18	71	29	63	89	21	24	40	16
AC153938.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153939.1	0	0	0	0	1	0	1	0	0	0	1	0	0
AC153940.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153940.2	3	8	0	3	5	4	0	4	1	0	1	3	0
AC153943.1	0	1	0	0	0	0	0	0	0	0	0	0	0
AC153943.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153943.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153943.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153945.1	0	0	0	0	1	0	0	1	0	0	0	0	0
AC153945.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153947.1	0	0	0	0	0	0	0	0	1	0	0	1	0
AC153947.2	1	3	1	10	1	7	10	2	1	2	3	2	14
AC153948.1	0	0	0	1	0	0	0	0	0	0	0	0	1
AC153948.2	0	0	0	0	0	0	0	0	0	0	1	1	0
AC153948.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153949.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153950.1	0	1	1	2	0	0	0	0	0	1	0	1	0
AC153950.2	0	0	1	2	2	1	0	0	1	1	3	0	3
AC153952.1	0	3	0	2	0	1	1	0	0	3	1	0	3
AC153954.1	0	0	0	1	1	0	0	1	0	0	2	0	0
AC153954.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153954.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153954.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153954.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153955.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153955.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153955.3	4	0	0	17	0	0	9	0	1	12	0	0	8
AC153955.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153955.5	0	0	0	1	1	1	1	0	0	2	0	0	1
AC153955.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153957.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153958.1	0	3	11	13	4	12	10	5	8	3	2	4	3
AC153959.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153961.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153961.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153962.1	4	14	7	11	19	12	5	25	15	15	19	26	10
AC153962.2	2	1	5	5	9	3	1	11	3	0	3	0	1
AC153962.3	43	109	101	186	134	96	60	152	136	155	213	145	98
AC153962.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153962.5	0	9	1	1	5	1	0	3	2	1	3	4	0
AC153964.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153964.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153966.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153966.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153967.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153968.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153968.2	0	0	0	0	0	1	0	0	0	0	0	0	0
AC153969.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153970.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153970.2	2	0	0	2	1	0	1	0	0	1	1	0	1
AC153971.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153971.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153974.1	0	0	0	0	1	0	2	0	0	1	0	1	1
AC153974.2	0	0	0	3	0	0	0	1	0	0	0	0	1
AC153975.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153975.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153975.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153977.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153977.2	1	2	1	2	6	6	1	1	2	3	2	4	2
AC153977.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153977.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC153979.1	1	7	0	0	3	2	4	0	5	9	0	2	0
AC154028.1	0	0	0	0	0	1	0	0	0	0	2	0	0
AC154039.1	3	60	15	10	23	4	3	33	5	7	44	17	1
AC154039.2	0	12	2	0	1	0	0	4	0	0	15	11	0
AC154136.1	1	0	0	1	0	0	0	1	0	0	2	1	2
AC154141.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154171.1	9	5	5	30	3	12	20	7	4	43	14	19	64
AC154171.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154171.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154176.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154176.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154184.1	0	0	0	0	0	1	0	0	0	0	0	0	1
AC154184.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154184.3	0	0	0	0	1	0	0	0	0	0	0	0	0
AC154197.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154198.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154207.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154219.1	22	86	76	79	90	38	32	84	68	121	176	151	100
AC154220.1	1	2	0	6	0	1	4	0	1	3	0	1	0
AC154221.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154222.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154222.2	0	0	0	1	0	0	3	0	0	1	0	0	0
AC154224.1	0	2	2	0	3	5	0	5	2	0	3	1	0
AC154231.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154231.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154231.3	7	23	11	13	12	12	6	12	9	11	21	9	4
AC154231.4	8	18	28	18	17	14	13	5	8	36	13	11	28
AC154241.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154245.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154248.1	18	46	22	42	21	26	33	43	33	34	26	20	39
AC154248.2	1	0	0	4	0	0	1	0	0	8	0	0	1
AC154248.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154250.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154252.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154252.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154257.1	29	4	3	28	7	10	26	9	7	29	5	1	4
AC154257.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154262.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC154262.2	0	0	0	0	0	0	0	0	2	0	0	0	0
